title,year,genre,plot,imdb_rating
repulsion,1965,"[drama,  horror,  thriller]"," Carol Ledoux, a beautiful and shy Belgian Manicure manicurist, lives in London with her older sister Helen. Carol is remarkably detached and struggles in her daily interactions. A suitor, Colin, is enamoured with her and makes fervent attempts to court her, but Carol seems uninterested. Carol is troubled by Helen's relationship with a married man named Michael, whom Carol seems to dislike. She is bothered by his habit of leaving his razor and toothbrush in her glass in the bathroom, and at night struggles to sleep, bothered by the sounds of her sister and Michael having sex. When Carol walks home from work one day, she is bothered by a crack in the pavement. Colin happens upon her and she struggles to converse with him. He drives her home and tries to kiss her several times, but she pulls away, running upstairs and vigorously brushing her teeth before weeping. That night, Helen questions Carol for dumping Michael's toothbrush and shaver in the bathroom trash bin. At the salon, Carol becomes increasingly distant, barely talking to her coworkers and customers, so much so that her boss decides to send her home for the day. That night, Helen and Michael depart for Italy on holiday, leaving Carol alone in the apartment. Carol takes a rabbit out of the fridge for dinner. Instead of cooking it, she is distracted by a number of Michael's possessions left around the apartment, including an unwashed shirt whose odour makes her vomit. After trying on one of her sister's dresses, Carol sees a dark figure in the mirror. That night, she hears footsteps outside her bedroom. Carol's isolation begins to take its toll on her, and she misses three days of work. One morning, she runs a bath and walks away, causing it to overflow. As she turns on a light, the wall cracks open. She locks herself in her room and again hears footsteps. This time, she hallucinates that a man breaks into her room and rapes her. She is awakened in the hallway by a phone call from Colin, but she hangs up. After returning to the salon, Carol finds the uncooked rabbit's head in her purse. While she is giving a manicure, she cuts her client's finger and is sent home early. At the apartment, Carol stares at an old family photo and the wall behind the photograph shatters like a mirror. Colin subsequently arrives at the apartment, but Carol refuses to open the door so he breaks in. He declares his love for her, and she responds by bludgeoning him to death with a candlestick. She cleans the blood, barricades the front door, and places Colin's corpse in the bathtub. In bed, she experiences the same rape hallucination. She wakes up the next morning, naked on the floor. In a subsequent scene, she walks down the dark hallway of her apartment where hands appear out of the walls and grab her. Later, the angry wife of Michael calls looking for Helen, causing Carol to cut the wire of the telephone. The landlord arrives to collect Carol and Helen's rent. After he is unable to get in due to the barricade, he breaks into the apartment and sees Carol. She pays him the rent, but he is disgusted by the state of the apartment. He sees the uncooked rabbit, still sitting out, rotting. He propositions Carol, offering to forget about the rent if she ""takes care of him"", and tries to rape her when she doesn't respond. She pushes him off and then hacks him to death with Michael's straight razor. She then sinks deeper into hallucination. When Helen and Michael arrive home, Helen is dismayed at the state of the place. Michael happens on Helen hyperventilating and finds Colin's dead body in the bath. Helen finds Carol under her bed in a catatonic state. Her neighbours flood in as Michael picks her up and carries her out, smiling. In the living room, a family photoâthe one Carol pondered earlierâshows Carol as a child, staring at an older male family member in the photograph with a look of loathing, while others in the photo smile for the camera. ",7.6
the underworld story,1950,"[crime,  drama,  film-noir]"," When big-city newspaper reporter Mike Reese (Duryea) writes and publishes a story (after breaking his promise to withhold it) that results in the murder of a state's witness against a local gang lord, he loses his job. He soon finds that no one else will hire him, so he extracts money from the drug lord (who is actually grateful for the story Reese published), moves to small-town Lakeville, and buys a half-interest in the newspaper, 'The Lakeville Sentinel.' The newspaper is owned by Catherine Harris (Storm), who immediately has differences with Reese on how things should operate. Reese, trying to use the paper as a step up, latches onto a murder of a woman who happens to be the daughter-in-law of a newspaper magnate, his former employer. When a local black woman is suspected (revealed to the audience early as a scapegoat), Reese turns the story into a media circus, and soon his reporting is back in the spotlight again. Eventually, he finds himself having to decide if he will reform his opportunistic ways. The film is notable for the pejorative use of the word ""nigger,"" though this is clearly dubbed, not what was originally filmed. ",7.0
the undertaker and his pals,1966,"[comedy,  horror]"," A motorcycle-riding undertaker and his two biker pals create business for the funeral parlor by selecting a victim at random from the telephone book and gruesomely murdering them. The undertaker then overcharges the victim's families for the cheap, shoddy funerals he provides. One of the two bikers is a medical student who chops up the victim's bodies to further his studies. A private detective who has lost two secretaries to the gang pursues them, but is killed by a bomb left by the undertaker. Finally, the police step in and save two other women from falling victim to the gang. At the end of the film, all of the actors playing the supposedly dead characters ""come alive"" again, one by one. ",4.5
this property is condemned,1966,"[drama,  romance]"," The film starts with a frame story in which an unkempt girl, Willie Starr, tells the story of her sister Alva to Tom, a boy whom she meets on the abandoned railroad tracks of Dodson, Mississippi in the 1930s. A stranger, Owen Legate, arrives in the small town of Dodson and makes his way to the Starr Boarding house Boarding House, where a loud birthday party is in progress for the landlady, Mrs. Hazel ""Mama"" Starr. He meets Willie, the youngest daughter of the house, and rents a room for the week, while remaining mysterious about his motives for being in town. It soon emerges that the eldest daughter, Alva, is the ""main attraction"" at the party. Mr. Johnson, the oldest and richest railroad station worker, is eagerly awaiting her arrival. When Alva finally appears, many men greet her and try to attract her attention or to dance with her, including J.J., Mama's boyfriend. Alva and Owen first meet in the kitchen, where she tells a fanciful story about one of the workers taking her dancing at the Peabody Hotel in Memphis. Willie is entranced, but Owen suspects that the story is fictitious. It becomes obvious that Alva is eager to leave Dodson and dreams of going to New Orleans, from where Owen has come. Later, Alva enters Owen's room on a false pretense and begins confiding in him. He discourages her, suggesting that she is no more than a prostitute, and she leaves in tears. Mama explains to Alva that she must be kind to Mr. Johnson, who has promised to look after her. The next day, Willie, who is skipping Vacation Bible school Vacation Bible School, sees Owen on his way to work. The purpose of Owen's visit to Dodson is to lay off several railroad employees as a result of cutbacks made necessary by the Great Depression Depression. In the evening, Mr. Johnson is waiting again for Alva to get ready for their date, but she is avoiding it. She makes an excuse to get him to go inside, then leads Owen into the garden to show him her father's red-headed scarecrow. Owen confronts Alva about her arrangement with Mama, which Alva won't admit to. She runs back angrily to Mr. Johnson and invites everyone in the house to go swimming in the nude. J.J. manages to get Alva alone and comes on to her. He tells her Owen has come to lay off most of the town. The workers grow increasingly hostile toward Legate, but Owen and Alva eventually become closer. They visit an abandoned train car decorated by Alva's father and Alva talks once again of her dream to leave the town. When Owen is beaten up by the laid-off men, Alva takes care of him and the two spend the night together. Meanwhile, Mama has arranged for the family to accompany Mr. Johnson to Memphis, where he will take care of them. She will not let Alva go to New Orleans with Owen. When Alva protests, Mama persuades Owen to believe he has been deceived and that Alva was planning to go to Memphis all along. Mama, J.J., Alva, and Mr. Johnson go out to celebrate their new arrangement. Drunk and angered, Alva confronts J.J. and gets him to admit that he stays with Mrs. Starr to be with her. That night, Alva marries J.J., but the next morning she steals his money and their marriage license and runs away to New Orleans. In New Orleans, Alva eventually finds Owen, and they share happy days together. When Owen is offered a job in Chicago, he proposes marriage to Alva and sends for Willie. But one day, the two come home to find Mama, who wants to take Alva back and involve her in a new scheme. She reveals to Owen that Alva had married J.J., something that Owen finds hard to believe. Alva runs out into the rain, crying. Willie finishes telling her story to Tom on the railroad tracks. Willie, who now wears her sister's clothes and jewelry, explains that Alva (using a malapropism) died of ""Tuberculosis lung affection"". Mama has gone away with a man and Willie lives on her own in the abandoned boarding house. ",7.0
the glass bottom boat,1966,"[comedy,  romance]"," Axel Nordstrom manages a glass-bottom boat tourist operation in the waters of Santa Catalina Island (California) Santa Catalina Island, California. His widowed daughter, Jennifer Nelson, occasionally helps by donning a mermaid costume and swimming underneath his boat for the passengers' amusement. One day, Jennifer accidentally meets Bruce Templeton when his fishing hook snags her costume. He reels in the bottom half, leaving the irate Jennifer floating in the water bottomless. She later has a run-in with Bruce at her new place of employment, an aerospace engineering aerospace research company in Long Beach, California Long Beach, where she works in public relations. After she discovers that Templeton is the president of the company, she embarrassedly apologizes to him, but he clearly has taken a liking to her. Bruce's company has created a gravitation control device, called the 'GISMO', which the United States Air Force U.S. Air Force plans to put into orbit in a few weeks and whose secret formula is sought after by the Soviet Union. Bruce hires Jennifer for a new full-time assignment: to be his biographer and write his life story, while he is working on GISMO. His real purpose is to win her affections. Jennifer accompanies him to many of his appointments and begins to feel affection for him. When she is invited to his home, she meets Edgar Hill, a Central Intelligence Agency CIA agent making sure the GISMO project is securely handled, and Julius Pritter, a bumbling electronics technician who is installing a High fidelity Hi-Fi system in Bruce's home. After Julius is left alone in a room, he is seen searching it for information regarding GISMO. He finds and photographs a cryptic note which Bruce had written while brainstorming ideas how to win Jennifer's affection. Julius is later seen transferring the photos to his handler. When Bruce drives Jennifer with his remote-controlled high-speed boat to Catalina, the remote malfunctions and Bruce is thrown from the wildly careening boat, which eventually lands in a parking lot with Jennifer. After Bruce and Jennifer spend a happy evening with Axel and his wife, Jennifer's feelings for Bruce deepen. Bruce is summoned to a meeting with Hill, bumbling security guard Homer Cripps and PR executive Zack Molloy. There Hill explains to him that secret information is leaking, e.g. the note that Julius had photographed. Cripps is very suspicious of Jennifer because of several odd things he had noticed about her: She dials the same telephone number several times every day, counts the rings and then hangs up with the words ""that's enough for now, Vladimir."" She burns papers alone late at night in the office. And she has a shortwave antenna installed in her home. There are innocent explanations for all of these things, which none of the people in the meeting know about: Vladimir is her dog, who gets his exercise by running through the house barking whenever he hears the phone ring. Jennifer had read a note in the office which explained that old documents should be burned so that they cannot be stolen. And she uses her shortwave antenna to communicate with Axel. Hill asks if the formula is safe and Bruce explains that the two copies are stored in voice activated safes, whose operation Bruce shows to the people in the meeting. Bruce begins to have some doubts regarding Jennifer, imagining her as Mata Hari, but shakes off his doubts. Later that evening, Air Force General Wallace Bleecker arrives to watch over the GISMO project. Julius is confronted by his handler for only providing useless or publicly known information and is pressured into spying at a party which will be held by Bruce the next day. Cripps in turn is spying on Jennifer, overhearing her talking to her father and misunderstanding her end of the conversation as more proof of her involvement in espionage. At the party, Bruce brings Jennifer to a guest room, where she declares her love for him and they plan to spend the night together, but Bruce is again called away to a meeting with Hill, Cripps, Molloy and Bleecker where they discuss the suspicions regarding Jennifer. When she picks up the phone to call Vladimir again, she is able to listen in on the discussion. She is furious at Cripps, Molloy and Bleecker for suspecting her of wrongdoing. And even though Bruce defends her and believes in her innocence, his remark that she is not intelligent enough for this kind of operation infuriates her even more. She intends to turn the tables by pretending to be a spy. She arranges for Molloy and Bleecker to have an embarrassing tete-a-tete by promising to meet both at the same time in the guest room. She manages to tie up Cripps, who had tailed her wearing women's clothing, in the toilet powder room. When Bruce notices her deeds, he is angry and locks her up in the closet. There, she is freed by a hidden Hill, who is revealed to be a spy, has stolen the GISMO formula, and put it in Jennifer's purse to smuggle it out of the house. When Jennifer returns home, she is confronted by Julius. But it is soon revealed that he is only carrying a water pistol and is harmless. But then Hill arrives, draws a gun, reveals himself as the spy and requests the formula. Julius and Jennifer manage to fight him off and then Jennifer flees through the neighborhood while Bruce, Cripps, Bleecker and Molloy, who have found out the truth, race in their cars to save Jennifer. Hill is finally stopped by a blow to the head with a nightlamp by neighbor Mabel Fenimore. The film ends with Jennifer and Bruce on their honeymoon, where they ride the same boat from before, which again malfunctions and leaves them in the parking lot on Catalina Island. ",6.4
they're a weird mob,1966,"[adventure,  comedy,  romance]"," Nino Culotta is an Italian Post war migrant arrivals, Australia immigrant, newly arrived in Australia. He expected to work for his cousin as a sports writer for an Italian language magazine. However, on arrival in Sydney, Nino discovers that the cousin has abandoned the magazine, leaving a substantial debt to Kay Kelly. Nino declares that he will get a job and pay back the debt. Working as a labourer Nino becomes mates with his co-workers, despite some difficulties with Australian English Australian slang and Australian culture culture of the 1960s. Nino endeavours to understand the aspirational values and social rituals of everyday urban Australians, and assimilate. A romantic attraction builds between Nino and Kay despite her frosty exterior and her conservative Irish father's dislike of Italians. A tone of mild racism exists in the film between Anglo-Saxon/Anglo-Irish characters such as Kay Kelly's dad Harry (Chips Rafferty) and Nino. Harry says he doesn't like writers, bricklayer brickies or wikt:dago dagos. Nino is all three. But this is undermined when Nino, sitting in the Kelly house notices a picture of the pope on the wall. Nino says ""If I am a dago, then so is he"". Realising the impossibility of referring to the pope by that derogatory term, Harry gives in. ",6.5
any wednesday,1966,[comedy]," John Cleves (Jason Robards) is a businessman with an office in New York and a home in New Jersey. On one day of each week, Wednesday, he spends the night in the city, lying to wife Dorothy (Rosemary Murphy) that he is out of town on business when he actually is seeing Ellen, his mistress (Jane Fonda). A business client from Akron, Ohio, Cass Henderson (Dean Jones (actor) Dean Jones), comes to town and is unable to find a hotel room for the night. Cleves' new secretary knows of an ""executive suite"" the boss maintains in town, so Cass is sent there for the night. When he meets Ellen, he mistakenly assumes she is a certain kind of lady hired by Cleves to entertain him. The secretary compounds the error by telling Dorothy about the apartment. Dorothy goes there and discovers Ellen and Cass, assuming them to be a young couple. The women take a liking to each other so Dorothy invites them to spend an evening out on the town with her and John. Dorothy eventually catches on to what her husband is up to and leaves him. Ellen invites her to use the apartment. John goes there and tries to win his wife's love back, but she just tells her husband to come visit her on any Wednesday. ",6.0
georgy girl,1966,"[comedy,  drama,  romance]"," The opening credits show the title character walking through the streets of London and being tempted into a hairdressers where she has her hair set in a far more contemporary style. She immediately changes her mind, and runs through the streets until she reaches a public lavatory. Once there, she submerges her hair in a sink-full of water, happy to return to her previously unkempt hairstyle. Georgina (""Georgy"") Parkin (Lynn Redgrave) is a 22-year-old Londoner who has considerable musical talent, is well-educated, and has an engaging, unpretentious character. At the same time, she believes herself to be plain and slightly overweight, she dresses haphazardly, and she is incredibly naÃ¯ve on the subjects of love and flirtation. She has never had a boyfriend. She has an inventive imagination and loves children. Her parents are live-in employees of successful businessman James Leamington (James Mason), who runs a children's home. Leamington is 49 and has a loveless, childless marriage with Ellen (Rachel Kempson). He watched Georgy grew up and treated her as if he were her second father. He provided for her private education at a Swiss finishing school and for a studio in his home, where she teaches dance to children. Leamington thinks Georgy ""owes him"" for all he has done. As Georgy has become a young woman, his feelings for her have become more than fatherly: James offers Georgy a legal contract, proposing to supply her with the luxuries of life in return for her becoming his mistress. Georgy sidesteps his proposal by never giving him a direct response; Leamington's business-like language and manner (and awkward inability to express any affection for her) leave her cold. Georgy's flatmate is the beautiful Meredith (Charlotte Rampling), who is a violinist in an orchestra, but is otherwise a shallow woman who lives for her own pleasures. She treats the meekly compliant Georgy like an unpaid servant. Georgy has a crush on Meredith's boyfriend Jos Jones (Alan Bates) and is happy to accommodate Meredith in order to spend time with Jos. She cooks for him and they play Scrabble together. When Meredith discovers that she is pregnant by Jos, they get married. She tells him bluntly that she has aborted two of his children, but she wants to marry because she is ""bored."" Jos moves in with the two young women. He becomes disillusioned with Meredith and begins to find himself attracted to Georgy, who convinces Leamington to buy several expensive items for the baby's care. While in the midst of an argument with Meredith over her cavalier attitude to her pregnancy, Jos suddenly kisses Georgy and tells her that he loves her. Georgy flees the apartment onto the streets of London, where Jos follows her, screaming over and over again that he loves her as he pursues her. The two return to the flat, where they have sex, after which there is a knock at the door by Peggy, a friend of Meredith, who tells Jos that Meredith has gone to the hospital to give birth. Jos and Georgy go to the hospital, where Georgy tries to comfort Meredith while she is in labour. Jos and Georgy's secret love affair continues. Meredith gives birth to a daughter they name Sara. Because she has no interest in the baby and has tired of Jos, she announces that she plans to put the child up for adoption and divorce him. Georgy and Jos set up home together in the flat, caring for baby Sara and living as a common-law married couple. It becomes clear that Georgy cares more for the baby than for having an adult relationship with Jos. Their relationship ends when Jos tires of a father's responsibilities; he abandons her and his baby. Now that Georgy is the sole caregiver of a baby to whom she has no blood ties, Social Services wishes to remove baby Sara from her care. In the recent past, Mr Leamington's wife suddenly died. Leamington, who was unable to express his true feelings for Georgy while his wife was alive, now finds himself free to express his love for her, so he proposes marriage. Georgy accepts because this will allow her to keep Sara. The two marry despite the difference in their backgrounds and ages. They officially adopt Sara, making Georgy a mother. As the newlyweds are chauffeured away from their wedding, Georgy ignores her new husband, devoting all her attention to baby Sara. ",6.9
is paris burning?,1966,"[drama,  history,  war]"," Shortly after the failed 20 July plot to assassinate him in 1944, Adolf Hitler appoints 'General of the Infantry (Germany) General der Infanterie' Dietrich von Choltitz as military governor of occupied Paris. Hitler believes that Choltitz will obey his order that Allies of World War II the Allies should not be allowed to capture Paris without the Germans destroying it completely, similarly to the planned destruction of Warsaw. The French Resistance learn that the Allies are not planning to take Paris, but are bypassing it to avoid confrontation and are heading straight to Germany instead. The two factions within the Resistance react to this news differently. The Gaullism Gaullists under Jacques Chaban-Delmas want to wait and see, while the French Communist Party communists under Colonel Rol-Tanguy want to take action. The communists force the issue by calling for a general uprising by the citizens of Paris and by occupying important government buildings. The Gaullists go along with this plan of action once it is set in motion. Initially, Choltitz is intent on following Hitler's order to level the city. After his troops fail to dislodge the Resistance from the Paris Police Prefecture, he orders the Luftwaffe to bomb the building but withdraws the order at the urging of Swedish consul Raoul Nordling, who points out that bombs that miss the Prefecture risk destroying nearby culturally invaluable buildings such as the Notre Dame de Paris Notre Dame Cathedral. Choltitz accepts a truce offer from the Resistance (conceived by the Gaullist faction), but the communists want to keep on fighting, in spite of a lack of ammunition. Therefore, the truce is shortened to one day and the fighting resumes. After learning that the Germans plan to destroy Paris (the Eiffel Tower and other landmarks are rigged with explosives), a messenger from the Resistance is sent across enemy lines to contact the Americans. He informs the Allies that the Resistance has already taken control of parts of the city and implores them to provide support to prevent the uprising being crushed as was Warsaw Uprising then happening in Warsaw. He adds that France would never forgive the Allies if they permit the destruction of Paris. Later, General Omar Bradley agrees that the 2nd Armored Division (France) 2nd Armored Division under General Philippe Leclerc should move on Paris. As the German military situation deteriorates, Choltitz delays the order to destroy Paris, believing that Hitler is insane and that the war is lost, making the destruction of Paris a futile gesture. When two SS officers arrive, he thinks that he is to be arrested, but instead they simply state that Heinrich Himmler Himmler has asked them to rescue the Bayeux Tapestry for his private collection prior to the destruction of the Louvre. Eventually, the French major persuades General Leclerc that it is essential for at least a token force of Allied tanks to move in and occupy Paris, as this symbolic gesture will save the city. A line of M4 Sherman Sherman tanks set off. Although the equipment is American, they allow the Free French army to control them with just a small American escort. As the line reaches from Paris, German troops lay explosives in the Eiffel Tower and under various bridges. The Germans release some of the imprisoned men to help defend their strongpoints. The first Sherman arrives and is hit by an artillery shell, but the other tanks, each named for a French victory in the First World War, reach the HÃ´tel de Ville, Paris HÃ´tel de Ville. Choltitz chooses not to give the order for the detonations and to surrender shortly after the Allies enter the city. He phones German high command to ask that his family should not suffer for his inaction. Meanwhile, some officers continue to lay explosives. Two officers debate as they lay mines at Napoleon's tomb in Les Invalides. Deaths occur on both sides but the civilians start to join in the battle. The fight reaches the Rue de Rivoli, where the Germans have their headquarters at the Hotel Meurice. As Allied soldiers enter his office, Choltitz asks that he be allowed to surrender to an officer. He is asked to command some of his officers to drive around with the Free French while displaying a white flag to convey the order of surrender to his troops. The French tanks reach Notre Dame Cathedral and they reactivate the bells after years of silence. The crowd cheers and sings ""The Marseillaise La Marseillaise."" Real-life documentary footage of the liberation crowds is shown. As the Free French forces and De Gaulle Liberation of Paris parade down the streets of Paris, greeted by cheering crowds, a phone receiver that is off the hook is seen with a voice in German repeatedly asking ""Is Paris burning?"" From the air, Paris is seen with its buildings intact, followed by a switch from black and white to color for the closing credits. ",6.8
manos: the hands of fate,1966,[horror]," File:Manos The Hands of Fate 1966.ogv thumb 'Manos: The Hands of Fate', full unrestored version While on vacation near El Paso, Texas, Michael, Margaret, their young daughter Debbie, and their dog, Peppy, drive through the desert in search of the Valley Lodge. Margaret insists they are lost, and Michael claims they are not. They are stopped by a local deputy for a broken taillight, and released because Michael asks him for mercy on their ""first vacation"". After long shots of driving through farmland and the desert, intercut with scenes of two unidentified teenagers kissing in a car and being caught by the deputies, the family finally reaches a house. The bizarre, satyr-like Torgo, is caretaker ""while the Master is away"". Michael and Margaret apprehensively ask Torgo for directions to the Valley Lodge, which Torgo denies knowing. Frustrated, Michael asks Torgo to let him and his family stay the night, despite objections from both Torgo and Margaret. File:The Masterâ Manos tHoF.jpg thumb Painting of the Master (Tom Neyman) Inside the house, Michael and Margaret find a disturbing painting of the Mastera dark, malevolent-looking man and a black dog with glowing eyes. An ominous howl frightens Margaret, and Peppy breaks away from Debbie and runs outside. Michael investigates with a flashlight and revolver from his car, and he finds Peppy lying dead on the ground. Michael buries the dog in the desert and goes back to the house. Meanwhile, Torgo reveals his sudden attraction to Margaret and wants to keep her, defying the Master's desire to marry her. Margaret threatens to tell Michael of Torgo's advances, but Torgo convinces her not to say anything by promising to protect her. Michael returns and is unable to start the car. Torgo tells them there is no phone in the house, so the family reluctantly decides to stay the night. Torgo secretly watches Margaret changing her clothes. Michael and Margaret find Debbie is gone and go to look for her. Debbie returns, holding the leash of the big black dog from the painting. Following Debbie, Michael and Margaret stumble upon the Master and his wives, sleeping around a blazing fire. The wives are dressed in diaphanous nightgowns, the Master in a robe with two red hands on it. Margaret and Debbie run back to the house to get their things and escape. As Michael runs behind them, Torgo appears and uses a stick to knock him out and then ties him to a pole. The Master awakens and summons his wives, telling them that Michael must be sacrificed to the deity Manos, and that Margaret and Debbie will become his new wives. He leaves. The other wives argue with each other about whether Debbie should become a wife or be sacrificed as well. This turns into a catfight, where the wives tumble around in the dirt. The Master returns and breaks up the fight, and he decides to sacrifice Torgo and his first wife instead. Meanwhile, Michael wakes up and unties himself, going back to the house to collect Margaret and Debbie. The family leaves the house and runs off into the desert to escape. The Master summons Torgo and hypnotizes him, ordering the wives to kill him. Two of the wives attack Torgo, and he falls to the ground, apparently dead. However, he regains consciousness and stands up. The Master severs and burns Torgo's left hand. Torgo runs off into the darkness with his stump of a wrist in flames, and the Master sacrifices his first wife. As Michael, Margaret and Debbie run through the desert, Margaret falls and says she can't go any farther. A rattlesnake appears in front of them and Michael shoots it, the noise attracting the attention of the deputies, who assume the noises came from Mexico and leave it at that. Margaret convinces Michael to return to the house, as the cult would never think to look for them there. They go back and find the Master and his dog waiting for them. The Master steps slowly towards them, and Michael fires his gun, to no effect. The film then cuts to another pair of travelers, two women starting their vacation and driving through a rainstorm, searching for shelter. When they find the Master's house, the entranced Michael greets them, telling them ""I take care of the place while The Master is away."" Margaret and Debbie have become wives of the Master, and all are asleep. ",1.6
